,ATIVIDADES,DATA
0,2.1 Lançamento do Edital na página eletrônica da FAPEG,17/12/2019
1,2.2 Publicação no DOE,17/12/2019
2,2.3 Limite para impugnação do edital,20/12/2019
3,2.4 Disponibilização do formulário no sistema OPP FAPEG,13/01/2020
4,2.5 Limite para submissão eletrônica das propostas,31/03/2020
5,2.6 Divulgação do resultado preliminar dos projetos aprovados,17/04/2020
6,2.7 Prazo para interposição de recursos,20/04/2020 a
7,,05/05/2020
8,2.8 Divulgação do resultado final dos projetos aprovados,15/05/2020
